       h                D. 3 pts      D. p/ frente 2 pts   D. p/ trás 2 pts        D. 5 pts          D. 2ª 5 pts          D. 3ª 5 pts

  0.50000000E+00   0.21066783236E+01   0.57693816932E+01   0.15560250460E+01   0.14953176672E+01   0.13930924069E+01   0.42924442382E+02
  0.20000000E+00   0.29727941484E+00   0.14753862835E+01   0.88082745381E+00   0.29645512679E-01   0.29781890786E-01   0.55152777314E+01
  0.10000000E+00   0.72980975766E-01   0.64324067537E+00   0.49727872384E+00   0.17851705916E-02   0.18137228867E-02   0.13362264183E+01
  0.50000000E-01   0.18162341135E-01   0.30097486969E+00   0.26465018743E+00   0.11053707552E-03   0.11262443369E-03   0.33144630861E+00
  0.10000000E-01   0.72543510181E-03   0.57140167455E-01   0.55689297251E-01   0.17633168392E-06   0.17982254086E-06   0.13224613322E-01
  0.50000000E-02   0.18135051068E-03   0.28386409815E-01   0.28023708794E-01   0.11019688273E-07   0.11230733676E-07   0.33058936435E-02
  0.10000000E-02   0.72539146787E-05   0.56481181412E-02   0.56336103119E-02   0.17618795312E-10   0.24231283646E-09   0.13222165163E-03
  0.50000000E-03   0.18134777444E-05   0.28222432842E-02   0.28186163287E-02   0.11781686737E-11   0.58463101027E-09   0.34077936256E-04
  0.10000000E-03   0.72539239948E-07   0.56415835341E-03   0.56401327493E-03   0.42632564146E-13   0.25823698735E-07   0.10980696774E-03
  0.50000000E-04   0.18135536184E-07   0.28206104123E-03   0.28202477016E-03   0.15232259898E-11   0.12204302813E-06   0.49838502635E-03
  0.10000000E-04   0.71058536832E-09   0.56409288394E-04   0.56407867223E-04   0.16610712805E-10   0.70676048836E-06   0.33034807631E+00
  0.10000000E-05   0.33263614085E-10   0.56409544134E-05   0.56410209406E-05   0.61019189701E-10   0.39798156613E-03   0.67498841066E+02
  0.10000000E-06   0.97695318502E-09   0.56301634332E-06   0.56497024969E-06   0.12545089412E-08   0.10177196041E-01   0.11097877900E+06
  0.10000000E-07   0.56843849627E-08   0.72297766440E-07   0.60928996515E-07   0.93851282301E-08   0.35212575114E+01   0.11102234599E+09

         Exatas:   0.27200159512E+01   0.27200159512E+01   0.27200159512E+01   0.27200159512E+01   0.11281716150E+02   0.43523461396E+02
