   t                 theta (Euler)              theta (Euler-Cromer)
  0.10             0.87266462600E-01             0.86393797974E-01
  0.20             0.86393797974E-01             0.84657195368E-01
  0.30             0.84648468722E-01             0.82074020809E-01
  0.40             0.82039201490E-01             0.78670106041E-01
  0.50             0.78583449571E-01             0.74479490213E-01
  0.60             0.74307305637E-01             0.69544079483E-01
  0.70             0.69245327208E-01             0.63913227958E-01
  0.80             0.63440275722E-01             0.57643244154E-01
  0.90             0.56942770964E-01             0.50796827908E-01
  1.00             0.49810863448E-01             0.43442443383E-01
  1.10             0.42109528224E-01             0.35653634424E-01
  1.20             0.33910084364E-01             0.27508289121E-01
  1.30             0.25289545223E-01             0.19087860926E-01
  1.40             0.16329905237E-01             0.10476554123E-01
  1.50             0.71173698000E-02             0.17604817779E-02
  1.60            -0.22584646898E-02            -0.69731953847E-02
  1.70            -0.11705472878E-01            -0.15637140593E-01
  1.80            -0.21129896419E-01            -0.24144714396E-01
  1.90            -0.30437265231E-01            -0.32410841055E-01
  2.00            -0.39533335079E-01            -0.40352859303E-01
  2.10            -0.48325032274E-01            -0.47891348959E-01
  2.20            -0.56721396119E-01            -0.54950925124E-01
  2.30            -0.64634509641E-01            -0.61460992039E-01
  2.40            -0.71980409202E-01            -0.67356449033E-01
  2.50            -0.78679963667E-01            -0.72578341537E-01
  2.60            -0.84659714039E-01            -0.77074450625E-01
  2.70            -0.89852664775E-01            -0.80799815207E-01
  2.80            -0.94199018371E-01            -0.83717181637E-01
  2.90            -0.97646845318E-01            -0.85797376251E-01
  3.00            -0.10015268208E+00            -0.87019597102E-01
  3.10            -0.10168205039E+00            -0.87371621982E-01
  3.20            -0.10220989188E+00            -0.86849930643E-01
  3.30            -0.10172091287E+00            -0.85459739996E-01
  3.40            -0.10020983494E+00            -0.83214951950E-01
  3.50            -0.97681547875E-01            -0.80138014385E-01
  3.60            -0.94151162464E-01            -0.76259696675E-01
  3.70            -0.89643961574E-01            -0.71618781999E-01
  3.80            -0.84195249060E-01            -0.66261679503E-01
  3.90            -0.77850096930E-01            -0.60241960212E-01
  4.00            -0.70662992310E-01            -0.53619821318E-01
  4.10            -0.62697386720E-01            -0.46461484212E-01
  4.20            -0.54025151207E-01            -0.38838532263E-01
  4.30            -0.44725941827E-01            -0.30827194992E-01
  4.40            -0.34886480934E-01            -0.22507585771E-01
  4.50            -0.24599760624E-01            -0.13962900692E-01
  4.60            -0.13964175504E-01            -0.52785866062E-02
  4.70            -0.30825927779E-02             0.34585133456E-02
  4.80             0.79386317032E-02             0.12161028164E-01
