   t         Omega F_0 0       Omega F_0 0.5       Omega F_0 1.2
  0.00   0.00000000000E+00   0.00000000000E+00   0.00000000000E+00
  0.03  -0.25980762114E-01  -0.25680782113E-01  -0.25260810113E-01
  0.06  -0.51560113562E-01  -0.50664928421E-01  -0.49411669220E-01
  0.09  -0.76732510314E-01  -0.74951832826E-01  -0.72458884284E-01
  0.12  -0.10149258374E+00  -0.98541245752E-01  -0.94409372162E-01
  0.15  -0.12583509874E+00  -0.12143323176E+00  -0.11527061622E+00
  0.18  -0.14975491518E+00  -0.14362813178E+00  -0.13505062913E+00
  0.21  -0.17324695264E+00  -0.16512652977E+00  -0.15375792140E+00
  0.24  -0.19630615863E+00  -0.18592922375E+00  -0.17140147537E+00
  0.27  -0.21892748007E+00  -0.20603720097E+00  -0.18799072404E+00
  0.30  -0.24110583835E+00  -0.22545161718E+00  -0.20353553452E+00
  0.33  -0.26283610765E+00  -0.24417377969E+00  -0.21804619553E+00
  0.36  -0.28411309681E+00  -0.26220513412E+00  -0.23153340866E+00
  0.39  -0.30493153448E+00  -0.27954725465E+00  -0.24400828281E+00
  0.42  -0.32528605773E+00  -0.29620183759E+00  -0.25548233162E+00
  0.45  -0.34517120394E+00  -0.31217069802E+00  -0.26596747326E+00
  0.48  -0.36458140603E+00  -0.32745576933E+00  -0.27547603238E+00
  0.51  -0.38351099088E+00  -0.34205910549E+00  -0.28402074374E+00
  0.54  -0.40195418100E+00  -0.35598288577E+00  -0.29161475722E+00
  0.57  -0.41990509925E+00  -0.36922942172E+00  -0.29827164377E+00
  0.60  -0.43735777666E+00  -0.38180116623E+00  -0.30400540213E+00
  0.63  -0.45430616307E+00  -0.39370072446E+00  -0.30883046581E+00
  0.66  -0.47074414076E+00  -0.40493086629E+00  -0.31276171023E+00
  0.69  -0.48666554065E+00  -0.41549454027E+00  -0.31581445962E+00
  0.72  -0.50206416118E+00  -0.42539488869E+00  -0.31800449344E+00
  0.75  -0.51693378957E+00  -0.43463526368E+00  -0.31934805216E+00
  0.78  -0.53126822546E+00  -0.44321924395E+00  -0.31986184213E+00
  0.81  -0.54506130656E+00  -0.45115065221E+00  -0.31956303936E+00
  0.84  -0.55830693629E+00  -0.45843357281E+00  -0.31846929201E+00
  0.87  -0.57099911323E+00  -0.46507236954E+00  -0.31659872156E+00
  0.90  -0.58313196197E+00  -0.47107170337E+00  -0.31396992243E+00
  0.93  -0.59469976544E+00  -0.47643654991E+00  -0.31060195991E+00
  0.96  -0.60569699820E+00  -0.48117221641E+00  -0.30651436651E+00
  0.99  -0.61611836068E+00  -0.48528435815E+00  -0.30172713646E+00
  1.02  -0.62595881398E+00  -0.48877899404E+00  -0.29626071843E+00
  1.05  -0.63521361501E+00  -0.49166252124E+00  -0.29013600646E+00
  1.08  -0.64387835180E+00  -0.49394172872E+00  -0.28337432902E+00
  1.11  -0.65194897852E+00  -0.49562380955E+00  -0.27599743629E+00
  1.14  -0.65942185021E+00  -0.49671637191E+00  -0.26802748564E+00
  1.17  -0.66629375664E+00  -0.49722744854E+00  -0.25948702536E+00
  1.20  -0.67256195535E+00  -0.49716550473E+00  -0.25039897674E+00
  1.23  -0.67822420337E+00  -0.49653944462E+00  -0.24078661449E+00
  1.26  -0.68327878751E+00  -0.49535861587E+00  -0.23067354568E+00
  1.29  -0.68772455289E+00  -0.49363281248E+00  -0.22008368712E+00
  1.32  -0.69156092958E+00  -0.49137227596E+00  -0.20904124151E+00
  1.35  -0.69478795701E+00  -0.48858769458E+00  -0.19757067223E+00
  1.38  -0.69740630603E+00  -0.48529020086E+00  -0.18569667701E+00
  1.41  -0.69941729846E+00  -0.48149136731E+00  -0.17344416056E+00
  1.44  -0.70082292386E+00  -0.47720320030E+00  -0.16083820622E+00
  1.47  -0.70162585351E+00  -0.47243813221E+00  -0.14790404685E+00
  1.50  -0.70182945142E+00  -0.46720901196E+00  -0.13466703489E+00
  1.53  -0.70143778222E+00  -0.46152909378E+00  -0.12115261198E+00
  1.56  -0.70045561603E+00  -0.45541202450E+00  -0.10738627790E+00
  1.59  -0.69888843008E+00  -0.44887182927E+00  -0.93393559262E-01
  1.62  -0.69674240720E+00  -0.44192289596E+00  -0.79199977843E-01
  1.65  -0.69402443117E+00  -0.43457995815E+00  -0.64831018784E-01
  1.68  -0.69074207889E+00  -0.42685807696E+00  -0.50312098676E-01
  1.71  -0.68690360960E+00  -0.41877262178E+00  -0.35668533689E-01
  1.74  -0.68251795101E+00  -0.41033924995E+00  -0.20925507796E-01
  1.77  -0.67759468271E+00  -0.40157388557E+00  -0.61080412134E-02
