   t         Theta F_0 0       Theta F_0 0.5       Theta F_0 1.2
  0.00   0.10471975512E+01   0.10471975512E+01   0.10471975512E+01
  0.03   0.10464181283E+01   0.10464271277E+01   0.10464397269E+01
  0.06   0.10448713249E+01   0.10449071799E+01   0.10449573768E+01
  0.09   0.10425693496E+01   0.10426586249E+01   0.10427836103E+01
  0.12   0.10395245721E+01   0.10397023875E+01   0.10399513291E+01
  0.15   0.10357495191E+01   0.10360593906E+01   0.10364932106E+01
  0.18   0.10312568717E+01   0.10317505466E+01   0.10324416918E+01
  0.21   0.10260594631E+01   0.10267967507E+01   0.10278289541E+01
  0.24   0.10201702783E+01   0.10212188740E+01   0.10226869099E+01
  0.27   0.10136024539E+01   0.10150377580E+01   0.10170471881E+01
  0.30   0.10063692788E+01   0.10082742095E+01   0.10109411221E+01
  0.33   0.99848419557E+00   0.10009489961E+01   0.10043997362E+01
  0.36   0.98996080266E+00   0.99308284205E+00   0.99745373398E+00
  0.39   0.98081285663E+00   0.98469642441E+00   0.99013348549E+00
  0.42   0.97105427490E+00   0.97581036929E+00   0.98246901554E+00
  0.45   0.96069913878E+00   0.96644524834E+00   0.97448999135E+00
  0.48   0.94976169660E+00   0.95662157526E+00   0.96622571038E+00
  0.51   0.93825636687E+00   0.94635980210E+00   0.95770508806E+00
  0.54   0.92619774144E+00   0.93568031553E+00   0.94895664535E+00
  0.57   0.91360058846E+00   0.92460343288E+00   0.94000849603E+00
  0.60   0.90047985516E+00   0.91314939789E+00   0.93088833397E+00
  0.63   0.88685067027E+00   0.90133837615E+00   0.92162341999E+00
  0.66   0.87272834605E+00   0.88919045017E+00   0.91224056869E+00
  0.69   0.85812837983E+00   0.87672561396E+00   0.90276613490E+00
  0.72   0.84306645499E+00   0.86396376730E+00   0.89322600010E+00
  0.75   0.82755844131E+00   0.85092470939E+00   0.88364555853E+00
  0.78   0.81162039454E+00   0.83762813207E+00   0.87404970327E+00
  0.81   0.79526855535E+00   0.82409361250E+00   0.86446281209E+00
  0.84   0.77851934726E+00   0.81034060532E+00   0.85490873333E+00
  0.87   0.76138937386E+00   0.79638843423E+00   0.84541077168E+00
  0.90   0.74389541500E+00   0.78225628313E+00   0.83599167401E+00
  0.93   0.72605442204E+00   0.76796318663E+00   0.82667361521E+00
  0.96   0.70788351209E+00   0.75352802014E+00   0.81747818421E+00
  0.99   0.68939996127E+00   0.73896948940E+00   0.80842637012E+00
  1.02   0.67062119685E+00   0.72430611957E+00   0.79953854857E+00
  1.05   0.65156478840E+00   0.70955624394E+00   0.79083446837E+00
  1.08   0.63224843785E+00   0.69473799208E+00   0.78233323850E+00
  1.11   0.61268996849E+00   0.67986927779E+00   0.77405331541E+00
  1.14   0.59290731299E+00   0.66496778663E+00   0.76601249085E+00
  1.17   0.57291850029E+00   0.65005096318E+00   0.75822788008E+00
  1.20   0.55274164163E+00   0.63513599803E+00   0.75071591078E+00
  1.23   0.53239491552E+00   0.62023981470E+00   0.74349231235E+00
  1.26   0.51189655190E+00   0.60537905622E+00   0.73657210598E+00
  1.29   0.49126481531E+00   0.59057007184E+00   0.72996959536E+00
  1.32   0.47051798743E+00   0.57582890357E+00   0.72369835812E+00
  1.35   0.44967434872E+00   0.56117127273E+00   0.71777123795E+00
  1.38   0.42875215953E+00   0.54661256670E+00   0.71220033764E+00
  1.41   0.40776964058E+00   0.53216782568E+00   0.70699701282E+00
  1.44   0.38674495286E+00   0.51785172967E+00   0.70217186664E+00
  1.47   0.36569617726E+00   0.50367858571E+00   0.69773474523E+00
  1.50   0.34464129372E+00   0.48966231535E+00   0.69369473419E+00
  1.53   0.32359816025E+00   0.47581644254E+00   0.69006015583E+00
  1.56   0.30258449177E+00   0.46215408180E+00   0.68683856749E+00
  1.59   0.28161783887E+00   0.44868792692E+00   0.68403676071E+00
  1.62   0.26071556665E+00   0.43543024004E+00   0.68166076138E+00
  1.65   0.23989483372E+00   0.42239284130E+00   0.67971583081E+00
  1.68   0.21917257135E+00   0.40958709899E+00   0.67820646785E+00
  1.71   0.19856546306E+00   0.39702392034E+00   0.67713641184E+00
  1.74   0.17808992453E+00   0.38471374284E+00   0.67650864661E+00
  1.77   0.15776208405E+00   0.37266652627E+00   0.67632540537E+00
  1.80   0.13759776354E+00   0.36089174534E+00   0.67658817660E+00
  1.83   0.11761246027E+00   0.34939838303E+00   0.67729771077E+00
  1.86   0.97821329186E-01   0.33819492462E+00   0.67845402810E+00
  1.89   0.78239166218E-01   0.32728935240E+00   0.68005642709E+00
  1.92   0.58880392262E-01   0.31668914120E+00   0.68210349401E+00
  1.95   0.39759038177E-01   0.30640125450E+00   0.68459311325E+00
  1.98   0.20888730696E-01   0.29643214138E+00   0.68752247843E+00
  2.01   0.22826793367E-02   0.28678773415E+00   0.69088810443E+00
  2.04   0.62671389715E+01   0.27747344674E+00   0.69468584012E+00
  2.07   0.62490993328E+01   0.26849417378E+00   0.69891088189E+00
  2.10   0.62313609602E+01   0.25985429042E+00   0.70355778786E+00
  2.13   0.62139352841E+01   0.25155765284E+00   0.70862049287E+00
  2.16   0.61968332684E+01   0.24360759948E+00   0.71409232404E+00
  2.19   0.61800654033E+01   0.23600695295E+00   0.71996601698E+00
  2.22   0.61636416996E+01   0.22875802256E+00   0.72623373263E+00
  2.25   0.61475716846E+01   0.22186260760E+00   0.73288707458E+00
  2.28   0.61318643984E+01   0.21532200117E+00   0.73991710696E+00
  2.31   0.61165283912E+01   0.20913699465E+00   0.74731437272E+00
  2.34   0.61015717219E+01   0.20330788281E+00   0.75506891242E+00
  2.37   0.60870019578E+01   0.19783446942E+00   0.76317028331E+00
  2.40   0.60728261748E+01   0.19271607350E+00   0.77160757880E+00
  2.43   0.60590509585E+01   0.18795153606E+00   0.78036944820E+00
  2.46   0.60456824067E+01   0.18353922733E+00   0.78944411663E+00
  2.49   0.60327261319E+01   0.17947705459E+00   0.79881940522E+00
  2.52   0.60201872651E+01   0.17576247034E+00   0.80848275139E+00
  2.55   0.60080704604E+01   0.17239248099E+00   0.81842122918E+00
  2.58   0.59963798995E+01   0.16936365601E+00   0.82862156969E+00
  2.61   0.59851192975E+01   0.16667213741E+00   0.83907018144E+00
  2.64   0.59742919095E+01   0.16431364965E+00   0.84975317072E+00
  2.67   0.59639005364E+01   0.16228350994E+00   0.86065636176E+00
  2.70   0.59539475327E+01   0.16057663884E+00   0.87176531681E+00
  2.73   0.59444348137E+01   0.15918757121E+00   0.88306535593E+00
  2.76   0.59353638635E+01   0.15811046745E+00   0.89454157658E+00
  2.79   0.59267357430E+01   0.15733912505E+00   0.90617887289E+00
  2.82   0.59185510985E+01   0.15686699040E+00   0.91796195454E+00
  2.85   0.59108101706E+01   0.15668717081E+00   0.92987536531E+00
  2.88   0.59035128025E+01   0.15679244683E+00   0.94190350115E+00
  2.91   0.58966584496E+01   0.15717528474E+00   0.95403062779E+00
  2.94   0.58902461884E+01   0.15782784923E+00   0.96624089788E+00
  2.97   0.58842747258E+01   0.15874201624E+00   0.97851836753E+00
  3.00   0.58787424083E+01   0.15990938604E+00   0.99084701232E+00
  3.03   0.58736472316E+01   0.16132129636E+00   0.10032107427E+01
  3.06   0.58689868497E+01   0.16296883568E+00   0.10155934188E+01
  3.09   0.58647585841E+01   0.16484285664E+00   0.10279788645E+01
  3.12   0.58609594336E+01   0.16693398954E+00   0.10403508811E+01
  3.15   0.58575860830E+01   0.16923265589E+00   0.10526932600E+01
  3.18   0.58546349126E+01   0.17172908204E+00   0.10649897948E+01
  3.21   0.58521020073E+01   0.17441331287E+00   0.10772242928E+01
  3.24   0.58499831652E+01   0.17727522546E+00   0.10893805859E+01
  3.27   0.58482739072E+01   0.18030454278E+00   0.11014425407E+01
  3.30   0.58469694850E+01   0.18349084746E+00   0.11133940676E+01
  3.33   0.58460648906E+01   0.18682359540E+00   0.11252191298E+01
  3.36   0.58455548643E+01   0.19029212946E+00   0.11369017515E+01
  3.39   0.58454339034E+01   0.19388569301E+00   0.11484260248E+01
  3.42   0.58456962704E+01   0.19759344353E+00   0.11597761174E+01
  3.45   0.58463360016E+01   0.20140446598E+00   0.11709362780E+01
  3.48   0.58473469149E+01   0.20530778620E+00   0.11818908421E+01
  3.51   0.58487226181E+01   0.20929238413E+00   0.11926242376E+01
  3.54   0.58504565164E+01   0.21334720694E+00   0.12031209888E+01
  3.57   0.58525418210E+01   0.21746118199E+00   0.12133657208E+01
  3.60   0.58549715560E+01   0.22162322968E+00   0.12233431630E+01
  3.63   0.58577385669E+01   0.22582227609E+00   0.12330381527E+01
  3.66   0.58608355275E+01   0.23004726551E+00   0.12424356374E+01
  3.69   0.58642549482E+01   0.23428717268E+00   0.12515206778E+01
  3.72   0.58679891827E+01   0.23853101494E+00   0.12602784501E+01
  3.75   0.58720304362E+01   0.24276786408E+00   0.12686942479E+01
  3.78   0.58763707722E+01   0.24698685806E+00   0.12767534839E+01
  3.81   0.58810021205E+01   0.25117721241E+00   0.12844416921E+01
